id;""datafile_id"";""client_id"";""mailing_id"";""mailing_name"";""mailing_date"";""subject"";""sent"";""delivered"";""opened"";""clicked"";""bounced"";""purchased"";""currency"";""open_rate"";""click_rate"";""delivery_rate"";""subject_length"";""word_count"";""word_length"";""created_at"";""channel_type"";""header"";""body"";""link"";""segment"";;;;;;;;;;;;;;;
1626300;""1747"";""292"";NULL;""amazon.com"";""2012-09-28 00:00:00"";""Half Off Boudoir Photo Shoot - Colorado Springs"";""80705"";""80705"";""3228"";NULL;NULL;NULL;NULL;""3.9997521"";""0"";""100"";""40"";""8"";""5"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626301;""1747"";""292"";NULL;""amazon.com"";""2012-08-12 00:00:00"";""Half Off Zumba Classes - Buffalo"";""79501"";""76186"";""3314"";NULL;NULL;NULL;NULL;""4.3498805"";""0"";""95.8302411"";""27"";""6"";""4.5"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626302;""1747"";""292"";NULL;""amazon.com"";""2012-08-13 00:00:00"";""88% Off Dental Package with Whitening - Buffalo"";""79451"";""76138"";""6624"";NULL;NULL;NULL;NULL;""8.6999921"";""0"";""95.8301342"";""40"";""8"";""5"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626303;""1747"";""292"";NULL;""amazon.com"";""2012-08-13 00:00:00"";""Up to 67% Off """"Glee"""""";""79451"";""79451"";""6618"";NULL;NULL;NULL;NULL;""8.3296623"";""0"";""100"";""16"";""5"";""3.2"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626304;""1747"";""292"";NULL;""amazon.com"";""2012-08-06 00:00:00"";""57% Off Select """"Jesse Stone"""" DVDs"";""79414"";""79414"";""16542"";NULL;NULL;NULL;NULL;""20.8300803"";""0"";""100"";""28"";""6"";""4.666666666"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626305;""1747"";""292"";NULL;""amazon.com"";""2012-08-05 00:00:00"";""20% Off Your Next Clothing Purchase"";""79373"";""76063"";""29764"";NULL;NULL;NULL;NULL;""39.1307205"";""0"";""95.8298161"";""30"";""6"";""5"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626306;""1747"";""292"";NULL;""amazon.com"";""2012-08-14 00:00:00"";""Half Off Chocolate Tasting or Drinks - Seattle"";""79310"";""76003"";""3306"";NULL;NULL;NULL;NULL;""4.3498282"";""0"";""95.8302862"";""39"";""8"";""4.875"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626307;""1747"";""292"";NULL;""amazon.com"";""2012-07-01 00:00:00"";""Buy a PS Vita"," Get """"Escape Plan"""" Free"";""79276"";""79276"";""9910"";NULL;NULL;NULL;NULL;""12.5006307"";""0"";""100"";""30"";""8"";""3.75"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626308;""1747"";""292"";NULL;""amazon.com"";""2012-07-30 00:00:00"";""Leave Packaging Feedback for your recent purchases at Amazon.com"";""79266"";""75961"";""29723"";NULL;NULL;NULL;NULL;""39.12929"";""0"";""95.8304947"";""56"";""9"";""6.222222222"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626309;""1747"";""292"";NULL;""amazon.com"";""2012-08-07 00:00:00"";""Invicta Watches Weekly Deal"";""79231"";""79231"";""23112"";NULL;NULL;NULL;NULL;""29.1704004"";""0"";""100"";""24"";""4"";""6"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626310;""1747"";""292"";NULL;""amazon.com"";""2012-08-07 00:00:00"";""Thanks for Visiting Amazon.com Gift Cards"";""79231"";""79231"";""19808"";NULL;NULL;NULL;NULL;""25.0003155"";""0"";""100"";""36"";""6"";""6"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626311;""1747"";""292"";NULL;""amazon.com"";""2012-08-07 00:00:00"";""Minimalist Running Shoes | New Balance Minimus"";""79231"";""79231"";""9904"";NULL;NULL;NULL;NULL;""12.5001577"";""0"";""100"";""40"";""7"";""5.714285714"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626312;""1747"";""292"";NULL;""amazon.com"";""2012-08-11 00:00:00"";""New Savings on Coffee & Tea"";""79218"";""75915"";""16504"";NULL;NULL;NULL;NULL;""21.740104"";""0"";""95.830493"";""22"";""6"";""3.666666666"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626313;""1747"";""292"";NULL;""amazon.com"";""2012-07-23 00:00:00"";""87% Off Dental Exam", Cleaning," and X-Rays - West Valley"";""79205"";""75902"";""6603"";NULL;NULL;NULL;NULL;""8.6993755"";""0"";""95.8298087"";""46"";""10"";""4.6"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626314;""1747"";""292"";NULL;""amazon.com"";""2012-07-02 00:00:00"";""Cosmopolitan Magazine | Paddle Board Rental | and 1 more - Westside / South Bay"";""79201"";""79201"";""3303"";NULL;NULL;NULL;NULL;""4.1704018"";""0"";""100"";""65"";""15"";""4.333333333"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626315;""1747"";""292"";NULL;""amazon.com"";""2012-07-02 00:00:00"";""Cosmopolitan Magazine | Comedy Musical Ticket - NYC - Upper West Side"";""79201"";""79201"";""3303"";NULL;NULL;NULL;NULL;""4.1704018"";""0"";""100"";""58"";""12"";""4.833333333"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626316;""1747"";""292"";NULL;""amazon.com"";""2012-08-04 00:00:00"";""Pre-order """"Dark Shadows"""" on DVD and Blu-ray"";""79115"";""75816"";""16482"";NULL;NULL;NULL;NULL;""21.7394745"";""0"";""95.8301207"";""37"";""7"";""5.285714285"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626317;""1747"";""292"";NULL;""amazon.com"";""2012-08-04 00:00:00"";""Our Newest Pre-orders on DVD and Blu-ray"";""79115"";""79115"";""9889"";NULL;NULL;NULL;NULL;""12.499526"";""0"";""100"";""34"";""7"";""4.857142857"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626318;""1747"";""292"";NULL;""amazon.com"";""2012-08-19 00:00:00"";""Women's Contemporary Shop"";""79073"";""79073"";""13181"";NULL;NULL;NULL;NULL;""16.6694067"";""0"";""100"";""23"";""3"";""7.666666666"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626319;""1747"";""292"";NULL;""amazon.com"";""2012-08-19 00:00:00"";""Half Off Teas and Spices - Buffalo"";""79073"";""75776"";""3296"";NULL;NULL;NULL;NULL;""4.3496621"";""0"";""95.8304351"";""28"";""7"";""4"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626320;""1747"";""292"";NULL;""amazon.com"";""2012-08-15 00:00:00"";""Your Amazon.com Inquiry"";""79064"";""79064"";""46118"";NULL;NULL;NULL;NULL;""58.3299605"";""0"";""100"";""21"";""3"";""7"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626321;""1747"";""292"";NULL;""amazon.com"";""2012-08-20 00:00:00"";""Amazon.com has shipped the item you sold"";""79056"";""79056"";""9882"";NULL;NULL;NULL;NULL;""12.5"";""0"";""100"";""34"";""7"";""4.857142857"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626322;""1747"";""292"";NULL;""amazon.com"";""2012-08-20 00:00:00"";""Half Off Food & Drink at Greek to Me Restaurant - Buffalo"";""79056"";""75759"";""6591"";NULL;NULL;NULL;NULL;""8.6999564"";""0"";""95.8295385"";""46"";""12"";""3.833333333"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626323;""1747"";""292"";NULL;""amazon.com"";""2012-08-10 00:00:00"";""Robeks | Grilling Class - Ventura County"";""79052"";""75756"";""3295"";NULL;NULL;NULL;NULL;""4.3494904"";""0"";""95.8305925"";""34"";""7"";""4.857142857"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626324;""1747"";""292"";NULL;""amazon.com"";""2012-08-10 00:00:00"";""$10 Off $70 | Kids' School Shoes"";""79052"";""79052"";""3296"";NULL;NULL;NULL;NULL;""4.1694074"";""0"";""100"";""26"";""7"";""3.714285714"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
1626325;""1747"";""292"";NULL;""amazon.com"";""2012-07-24 00:00:00"";""Thanks for Claiming Your Amazon.com Gift Card"";""79048"";""75752"";""16468"";NULL;NULL;NULL;NULL;""21.73936"";""0"";""95.8303815"";""39"";""7"";""5.571428571"";""2016-10-07 08:41:35"";""1"";NULL;NULL;NULL;NULL",,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
